"Ref INS","INE","Municipi","Comarca","Instal·lació","Ubicació UTMX","Ubicació UTMY","Latitud","Longitud","Tipus propietat","Tipus gestió","Titularitat","URL CEEC","CAM","ATL","PAL","PCO","POL","PAV","TEN","PAD","SAL","ESQ","FRO","PET","CON","HIP","GOL","CIR","ROC","SIN","URB","NAT","BIC","ITI","VES","GRA","MAG","SER","AER","POR","REF","COM","Georeferència"
"4315360046","431536","Torredembarra","Tarragonès","COMUNITAT DE L'AV. DE CATALUNYA, 10-12","365459","4555950","41,14371848","1,396796052","Privat residencial","Privat residencial","Privada residencial i turística","No publicada","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (1.396796052 41.14371848)"
"0821400004","082140","Vilassar de Dalt","Maresme","ÀREA D'ESCALADA DE CAN BOQUET","445355","4597810","41,530073","2,344975586","Altres públics","Altres públics","Pública directa","No publicada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","POINT (2.344975586 41.530073)"
"0820550350","082055","Sant Cugat del Vallès","Vallès Occidental","COMUNITAT DE L'AV. DE CAN DELAIRE, 12","422009","4593198","41,48660193","2,065757102","Privat residencial","Privat residencial","Privada residencial i turística","No publicada","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (2.065757102 41.48660193)"
"4303850040","430385","Cambrils","Baix Camp","HOTEL ESTIVAL CENTURION PLAYA","339670","4548018","41,06762058","1,09171112","Privat turístic","Privat turístic","Privada residencial i turística","No publicada","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (1.09171112 41.06762058)"
"4317110047","431711","Vila-seca","Tarragonès","CARRIL BICI AV. DE L'ALCADE PERE MOLAS","344739","4551816","41,10279867","1,15105462","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/23060","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","POINT (1.15105462 41.10279867)"
"1705450016","170545","Colera","Alt Empordà","SKATE PARK","511990","4694593","42,4035431","3,14570012","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/39092","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","POINT (3.14570012 42.4035431)"
"2504980005","250498","Bellmunt d'Urgell","Noguera","PUNT D'INFORMACIÓ DE SENDERS","329989","4626551","41,77260083","0,954480326","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/30098","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","POINT (0.954480326 41.77260083)"
"0827040043","082704","Sitges","Garraf","COMUNITAT DEL C. JOAN SALVAT PAPASSEIT, 1-29","401297","4565678","41,23648091","1,822174062","Privat residencial","Privat residencial","Privada residencial i turística","No publicada","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (1.822174062 41.23648091)"
"0825150027","082515","Santa Margarida i els Monjos","Alt Penedès","PING-PONG PL. COSTA DAURADA","387856","4574954","41,31826232","1,660114117","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/25474","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","POINT (1.660114117 41.31826232)"
"1709500094","170950","Lloret de Mar","Selva","CIRCUIT AUTO-CROSS CAN DAURA (FORA DE SERVEI)","486137","4617482","41,70900857","2,833365138","Ajuntament","Ajuntament","Pública directa","No publicada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (2.833365138 41.70900857)"
